epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,200.003,0.95038,0.61561,0.99952,0.91147,0.9923,0.95679,0.65457,1.19425,0.65422,1.06225,0.000341077,0.000341077,0.000341077
72,202.507,0.90361,0.59812,0.97218,0.83914,1,0.94029,0.63516,1.20254,0.65948,1.08328,0.000330078,0.000330078,0.000330078
73,205.079,0.94555,0.61679,0.97593,0.88694,0.92063,0.93829,0.65733,1.20349,0.67309,1.09902,0.000319079,0.000319079,0.000319079
74,208.414,0.91179,0.59838,0.98573,0.92065,0.90273,0.93829,0.67335,1.14994,0.66412,1.08023,0.00030808,0.00030808,0.00030808
75,210.943,0.94466,0.59141,1.00381,0.91457,0.87998,0.9213,0.6763,1.13279,0.66721,1.06995,0.000297081,0.000297081,0.000297081
76,213.431,0.87867,0.57971,0.95764,0.91858,0.90987,0.92877,0.66386,1.20968,0.66054,1.08997,0.000286083,0.000286083,0.000286083
77,215.956,0.93173,0.58475,1.00206,0.9159,0.91921,0.92877,0.65987,1.22595,0.63687,1.09707,0.000275084,0.000275084,0.000275084
78,218.795,0.90809,0.56899,0.95796,0.8968,0.92843,0.94061,0.67806,1.19233,0.61349,1.06946,0.000264085,0.000264085,0.000264085
79,221.897,0.90373,0.56429,0.98045,0.89033,0.91826,0.9388,0.65844,1.20505,0.6215,1.06811,0.000253086,0.000253086,0.000253086
80,224.421,0.89888,0.57524,0.97153,0.88891,0.91465,0.93044,0.64574,1.18546,0.66276,1.06313,0.000242087,0.000242087,0.000242087
81,226.936,0.84201,0.56136,0.97272,0.91015,0.91381,0.93044,0.65617,1.1753,0.67412,1.05725,0.000231088,0.000231088,0.000231088
82,229.475,0.90051,0.5528,0.95996,0.89921,0.91656,0.93645,0.66425,1.19627,0.66418,1.06697,0.000220089,0.000220089,0.000220089
83,232.478,0.8867,0.57355,0.97042,0.90385,0.91333,0.94992,0.6356,1.28235,0.65291,1.10011,0.00020909,0.00020909,0.00020909
84,235.366,0.82724,0.55031,0.94922,0.91034,0.90252,0.95542,0.62727,1.25486,0.63314,1.09483,0.000198091,0.000198091,0.000198091
85,237.91,0.83582,0.53242,0.92915,0.905,0.91857,0.95361,0.63209,1.21209,0.61192,1.09205,0.000187092,0.000187092,0.000187092
86,240.475,0.84256,0.51968,0.94507,0.84875,0.96761,0.95543,0.63363,1.18124,0.6059,1.08018,0.000176094,0.000176094,0.000176094
87,242.978,0.87756,0.56295,0.95881,0.84317,0.95802,0.93901,0.63342,1.17772,0.6038,1.07446,0.000165095,0.000165095,0.000165095
88,246.317,0.83474,0.53559,0.94974,0.90159,0.90798,0.93501,0.62922,1.19755,0.61951,1.08134,0.000154096,0.000154096,0.000154096
89,248.992,0.83601,0.54426,0.9616,0.90295,0.90625,0.93501,0.62695,1.2076,0.6267,1.08457,0.000143097,0.000143097,0.000143097
90,252.046,0.84395,0.5388,0.9483,0.85979,0.98,0.94563,0.64681,1.17033,0.63787,1.06672,0.000132098,0.000132098,0.000132098
91,259.654,0.76764,0.45853,0.93221,0.8672,0.98,0.94563,0.64557,1.16178,0.65251,1.05953,0.000121099,0.000121099,0.000121099
92,262.9,0.75642,0.47415,0.93297,0.87322,0.98,0.93554,0.63703,1.17996,0.65988,1.0613,0.0001101,0.0001101,0.0001101
93,265.369,0.80438,0.46231,0.94384,0.87485,0.98,0.93554,0.62692,1.17878,0.65745,1.06165,9.91012e-05,9.91012e-05,9.91012e-05
94,267.99,0.72602,0.46075,0.93142,0.87186,0.98,0.93663,0.64548,1.1729,0.65733,1.06571,8.81023e-05,8.81023e-05,8.81023e-05
95,270.802,0.72097,0.43832,0.91849,0.8664,0.98,0.93863,0.63442,1.18122,0.65475,1.07715,7.71034e-05,7.71034e-05,7.71034e-05
96,273.865,0.73488,0.44745,0.92159,0.85556,0.98,0.94263,0.64376,1.18794,0.65215,1.08449,6.61045e-05,6.61045e-05,6.61045e-05
97,276.362,0.70331,0.43014,0.90766,0.85139,0.97714,0.94463,0.63869,1.19433,0.65643,1.08401,5.51056e-05,5.51056e-05,5.51056e-05
98,278.878,0.7043,0.43771,0.89949,0.84937,0.97238,0.94463,0.65256,1.18222,0.65434,1.08431,4.41067e-05,4.41067e-05,4.41067e-05
99,281.482,0.6874,0.42882,0.90461,0.84587,0.96978,0.94813,0.65039,1.17848,0.65692,1.08264,3.31078e-05,3.31078e-05,3.31078e-05
100,284.628,0.72519,0.44665,0.91181,0.84459,0.96919,0.94813,0.65466,1.17837,0.6621,1.0769,2.21089e-05,2.21089e-05,2.21089e-05
